,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
FT0085,80.9653683077689,0.9179670407614784,21037.694125410766,22199.880638399714,17284.330081130527
FT0088,81.9535038075319,0.9345921134947067,12501.061312685966,10037.994340877345,11111.775061952687
FT0090,81.9538831574673,5.872176106770834,4003.6437434511613,2939.638511943406,3675.84555812394
FT0091,82.9542104954838,1.8489344278971334,24354.982708908952,19829.358309659525,23834.82794607841
FT0092,82.9721229457623,5.090622456868483,61230.14484752295,53868.63659516746,45228.11556978128
FT0093,82.975180195748,13.103516666667,118885.03286265174,101324.67299674706,96528.70797943883
FT0094,83.014035866169,1.0842,15542.379352311524,12144.89808584497,12320.700531292325
FT0099,84.9514939650461,1.8489344278971334,8031.021194797509,6673.850437232717,7610.61146193443
FT0101,84.9907548672383,13.086900000000002,1425959.7094201401,1285349.5191096251,1221832.0797502282
FT0102,85.029308451001,8.0331314086914,38698.98149043505,43040.85295291386,41008.49072317318
FT0104,85.0659429539695,1.0842185974121101,5678.078797192267,4048.722570685184,4265.73874017233
FT0106,87.045204705778,1.4166928654986932,168679.29526740737,135684.60294776136,151147.08006171766
FT0107,87.0089338318288,1.9486673990885335,1121694.8319327468,968755.4767305059,974428.8423527179
FT0108,87.0451714756672,2.979366666667,33087.47178685095,29758.581938568244,29322.861745729144
FT0111,88.0407138167768,6.137966538493,152229.5839065364,120931.72847887856,135160.0440472352
FT0112,88.0120735224732,1.9486673990885335,39034.99242110342,35517.021619362094,30723.517580899534
FT0113,88.0481415322352,1.4167023976643882,6972.668201151328,6096.210660829785,6228.066348455564
FT0114,88.0041851352958,0.66859753926595,12106.421037625645,9222.453835398032,10285.271032489982
FT0115,89.0245487936496,2.1814165751139334,19288011.77054168,18475248.735933974,18991520.43008309
FT0118,89.0606974159988,1.4665666666669999,7344.1290747872745,4944.978877070382,5595.400716530501
FT0119,88.9881283251719,8.049766666667,333410.2939609799,264316.95860807894,298010.1788613805
FT0120,89.0417243732261,1.117671076456705,3413.261870051514,3546.1543337385087,3134.9196726731143
FT0122,88.9879834708473,0.66859753926595,50334.68604687574,40115.759307464665,57628.41151933339
