,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML,example_data_for_colab/xcms_example_data//blank-2_6540.mzML
769,169.02561490826906,5.156116666666998,54865.2677125176,48348.985270743535,42037.98219604631,0.0
770,169.06177641734072,0.956116666667,9449.572956352142,9194.364560892103,11676.999663382048,0.0
771,169.06177641734072,2.756116666667001,20249.387538110528,23627.726247386378,22638.96824473119,0.0
772,169.06598223271772,0.956116666667,20617.513657122003,19393.530802913476,20980.031895512548,0.0
773,169.06598223271772,2.756116666667001,9193.147982872903,11035.51754391639,9157.521560852365,0.0
774,169.06990778156424,0.956116666667,9820.784694808612,6294.346866680522,17562.056414024606,0.0
775,169.06990778156424,1.4561166666670002,9402.64927990838,9236.423215247152,9066.109502806079,0.0
776,169.06990778156424,1.5561166666670003,9267.753311287966,8675.367382074483,8467.616173409539,0.0
777,169.08785423738658,0.8561166666669999,36184.28503207429,30852.627349440925,28759.097459657434,32452.231110152035
778,169.08785423738658,0.956116666667,36091.915468309315,30797.8117030326,29030.119115025962,31569.598687607744
779,169.12289895598377,0.8561166666669999,94362.28486109062,86271.82777241687,83203.89741807149,785.1520473866755
780,169.12289895598377,0.956116666667,93055.09274106404,85327.52035536591,89331.8668573161,785.0702121528326
781,169.83399844962452,1.056116666667,12933.326265115247,18753.676224664734,19754.364707001405,0.0
782,169.83399844962452,5.156116666666998,42346.0447973031,17594.998182901545,14226.516710767557,0.0
783,170.0520987904585,5.456116666666997,3301.845652784993,3062.6431786380635,2832.5588295276166,0.0
784,170.07425307641233,0.956116666667,141699.2952257432,121706.28582229104,120534.43719741626,0.0
785,170.08875790428937,0.8561166666669999,2866.876790626253,3168.617915516631,2749.0871810958497,1548.5870333055136
786,170.1265544859383,0.8561166666669999,14256.716036022193,11436.0598921118,13279.190493899363,0.0
787,170.1265544859383,0.956116666667,14042.863672887028,11485.51043386564,13123.71776931265,0.0
788,170.9914255917394,3.056116666667001,751.0767971469083,779.9989474681618,289.2872135598932,442.77254066218626
789,170.9914255917394,14.156116666666966,806.1475244916518,1641.1579395871577,2566.1260613961117,353.819435360427
790,171.01184036033075,1.056116666667,39373.959168936184,31691.93762791815,37740.8475396485,3934.1583497245024
791,171.02890006547386,1.156116666667,32594.84005021286,29154.724022923816,31965.711697812247,975.2018094983957
792,171.02890006547386,1.256116666667,32381.984082365223,28156.537347399222,32878.10382397781,884.1552432199031
793,171.07262080264084,0.956116666667,24663.376732606863,20491.728716965692,20852.75764401476,0.0
794,171.0758043611827,0.956116666667,23838.782424161716,20333.154795949376,18538.31166141922,0.0
795,171.10230117044793,0.956116666667,110714.31597966743,113728.22252492173,120511.15977664803,21373.114786986727
796,171.11191139424378,1.256116666667,11491.83996213497,8079.7648916046455,11299.022438293994,0.0
797,171.1382327696513,0.8561166666669999,153889.62448778324,134819.0892584956,133823.62839059447,14442.132166333928
798,171.1382327696513,0.956116666667,152239.79001340416,133918.42073212864,130641.82261947085,14366.45044472359
799,171.83122866134866,1.056116666667,8982.875476260238,11386.204875476766,14187.583190856707,0.0
800,171.83122866134866,5.156116666666998,25381.46783394048,11329.823607446928,8470.632978511436,0.0
801,171.91051450812216,8.056116666666988,12404.878200465315,3336.9773834802777,3099.268315638969,0.0
802,171.96056468180578,13.05611666666697,6612.957325832445,6857.34418130534,4545.861193662668,0.0
803,172.01783788143618,1.056116666667,4813.874514298017,4462.590909319297,3671.1136415208534,0.0
804,172.0699535232766,5.356116666666997,4295.416475790204,4036.8818211134526,2452.269529473081,0.0
805,172.10564706549349,0.956116666667,14013.584190973104,11656.519759411134,13487.441368781288,0.0
806,172.1422837400013,0.8561166666669999,18223.235209183742,12681.865156966138,16113.623783311115,0.0
807,172.1422837400013,0.956116666667,17919.55489885264,12528.718011168974,15649.585060910409,0.0
808,172.96542051806307,13.15611666666697,9024.52521062647,6744.076823552718,7197.7590419895805,0.0
809,172.9915434639929,0.956116666667,3909310.567248786,3441611.3494743453,3276507.4699053834,0.0
810,172.9915434639929,1.056116666667,3657172.123934298,3113761.199190791,3134710.7779549304,0.0
811,173.00923827199338,7.956116666666988,245092.68893306222,218476.48297211912,214595.43234409008,0.0
812,173.00923827199338,8.056116666666988,243593.03573440967,216117.78870106235,212321.76178249024,0.0
813,173.05669807211677,4.956116666666999,7957.6062704244405,5571.1526660417885,5456.146906558053,0.0
814,173.081507550318,5.156116666666998,10648.199157263683,8738.717952047202,7752.1515659123,586.5208810108875
815,173.0913099545016,5.656116666666996,6382.907707486262,6551.717480782108,6433.438911056068,0.0
816,173.0913099545016,5.756116666666996,6381.259727211456,5987.683260340518,6656.10020746488,0.0
817,173.0958096183503,3.956116666667002,41274.962076624564,39497.89964039951,39465.037541137484,0.0
