,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
FT0002,54.9770124550965,5.074016666667,0.9894154071807861,0.988515317440033,0.9878420829772949
FT0004,56.9959000846868,13.086900000000002,0.9582310914993286,0.952387273311615,0.9562513828277588
FT0006,57.0288780481929,12.804283333333,0.9899358153343201,0.9869422912597656,0.9851745963096619
FT0007,57.9756297182526,1.4832023620605466,0.9878397583961487,0.9865250587463379,0.987912118434906
FT0009,59.0138573720679,2.0481516621909166,0.9916911125183105,0.9914634823799133,0.9913083910942078
FT0010,59.0249641205099,3.3102205912272167,0.9866734743118286,0.9872891902923584,0.9853230714797974
FT0013,60.0168266961095,2.04788665771485,0.9931324124336243,0.9912992119789124,0.9900512099266052
FT0014,59.985289776117,13.103516666667,0.8528664708137512,0.866269052028656,0.8983709812164307
FT0055,62.9640281133491,0.6353636423746749,0.7887864112854004,0.9114850163459778,0.9667238593101501
FT0056,69.0092729974352,5.1238998413086,0.9907382130622864,0.986772358417511,0.9890268445014954
FT0057,68.9957430014341,0.9844679514567051,0.9750615954399109,0.9727885723114014,0.9666579961776733
FT0058,69.0341789648657,3.593880173746917,0.9785223603248596,0.9870651960372925,0.9707621335983276
FT0059,70.9459784235282,5.06569798583985,0.9956977367401123,0.9983230233192444,0.9972834587097168
FT0061,71.0502697272172,1.2504524230957033,0.8759289979934692,0.9454174637794495,0.9359008073806763
FT0064,72.9697046312227,13.519133333333,0.9496526122093201,0.9477764368057251,0.9547094702720642
FT0065,73.0292708219573,2.3476500000000002,0.9237791895866394,0.9309380054473877,0.9550666213035583
FT0066,74.0247523993996,6.66164627075195,0.9605843424797058,0.9640952348709106,0.97294020652771
FT0067,74.0248278730961,5.905233333333,0.8093262314796448,0.8265665173530579,0.9760082960128784
FT0068,74.968363127845,13.519132995605467,0.9708117842674255,0.962868332862854,0.9672505259513855
FT0069,74.9908640943882,1.3502,0.988853931427002,0.9881396293640137,0.9882552623748779
FT0070,77.0397018465466,1.2837024688720702,0.9937314391136169,0.9937593936920166,0.9932687878608704
FT0071,78.0429012929868,1.2837024688720702,0.9944654107093811,0.9944244623184204,0.9940534234046936
FT0072,78.9188456214371,5.007516666667,0.9967081546783447,0.9954784512519836,0.9965136647224426
FT0076,79.957500320938,5.8719833333330005,0.9688762426376343,0.9708362817764282,0.9716254472732544
FT0077,79.9572024552345,0.9346008936564133,0.9897777438163757,0.988852858543396,0.9883537292480469
FT0078,79.9572532502334,8.0663838704427,0.9167182445526123,0.8300812840461731,0.8991533517837524
FT0080,80.0117572415868,13.070282999674482,0.9111642241477966,0.9485483765602112,0.897085964679718
FT0081,79.9952506814236,0.9262753740944784,0.9870001673698425,0.9868665933609009,0.9865692853927612
FT0082,79.9949410446525,5.855544535319017,0.9869725108146667,0.9862325191497803,0.98586106300354
FT0083,80.9747746400529,5.074016666667,0.9837574362754822,0.9826001524925232,0.9804912805557251
FT0084,80.916881953994,5.007456461588533,0.9969898462295532,0.9958561062812805,0.9968822002410889
FT0085,80.9653683077689,0.9179670407614784,0.9237873554229736,0.9095644354820251,0.9548908472061157
FT0088,81.9535038075319,0.9345921134947067,0.9852389097213745,0.9850232601165771,0.9844152331352234
FT0090,81.9538831574673,5.872176106770834,0.9782876372337341,0.9836893677711487,0.9828615188598633
FT0091,82.9542104954838,1.8489344278971334,0.9609374403953552,0.9686320424079895,0.9748705625534058
FT0092,82.9721229457623,5.090622456868483,0.988872230052948,0.9888384342193604,0.9879119992256165
FT0093,82.975180195748,13.103516666667,0.9518488645553589,0.9564650654792786,0.9551013112068176
FT0094,83.014035866169,1.0842,0.9774341583251953,0.9786641597747803,0.9798659682273865
