,mz,rt
FT0001,52.9952735694077,5.074016666667
FT0002,54.9770124550965,5.074016666667
FT0003,55.018832432142,6.038233333332999
FT0004,56.9959000846868,13.086900000000002
FT0005,57.034581244239,1.5909913691204465
FT0006,57.0288780481929,12.804283333333
FT0007,57.0345031170801,0.99248218536377
FT0008,56.9958642892978,12.66031494140625
FT0009,57.9756297182526,1.4832023620605466
FT0010,58.0002184566695,13.070282999674482
FT0011,59.0138573720679,2.0481516621909166
FT0012,59.014159581427,6.0382334391276
FT0013,59.0249641205099,3.3102205912272167
FT0014,58.9999737385086,13.086900000000002
FT0015,59.0136634925757,13.665133666992183
FT0016,59.0137899349091,1.2955888112386067
FT0017,59.0137541567395,3.7458302815755165
FT0018,60.0168266961095,2.04788665771485
FT0019,59.985289776117,13.103516666667
FT0020,60.0170942197214,6.0132915832517835
FT0021,60.0099702707532,1.3124081929524734
FT0022,60.9930373823566,13.0931315999349
FT0023,60.9930409657163,0.7040801996866867
FT0024,60.9930248129481,3.31185
FT0025,60.9930284737129,13.53575
FT0026,60.9930192777573,1.9816685994466168
FT0027,60.9930862029904,6.204609680175783
FT0028,60.9930603539614,2.663468933105467
FT0029,60.9930021312761,1.5829344604490518
FT0030,60.9929887335346,4.109602954101733
FT0031,60.993064550145,10.847924943033684
FT0032,60.9930240704511,5.290133333333
FT0033,60.9930163142404,11.848388859049484
FT0034,60.9930251437054,9.15529020182275
FT0035,60.993016626954,14.741007995605466
FT0036,60.99299891415,12.114382938639316
FT0037,60.9930215314049,10.1776587361652
FT0038,60.9930691414086,8.066383679199383
FT0039,60.9930823090207,10.542600394694183
FT0040,60.9930783133637,6.87775034383155
FT0041,60.9930365572802,7.127116766357417
FT0042,60.993010933756,11.175115966796868
FT0043,60.9933862832043,11.2541768391927
FT0044,60.99301083678,10.443634033203132
FT0045,60.9929709963887,11.091988118489583
FT0046,60.9930560884822,10.343899536132817
FT0047,60.9930450738427,14.898950000000001
FT0048,60.9929934804908,9.412949625651034
FT0049,60.9930959979367,10.726266479492184
FT0050,60.9930152697193,3.579878743489583
FT0051,60.9930236896419,9.030582682291667
FT0052,60.99295755592,14.15085
FT0053,60.9930897902013,2.2665168762206997
FT0054,60.9930774850817,4.542387898763017
FT0055,60.9931000791141,7.268405151367184
FT0056,60.9930572110949,1.7321295420328833
FT0057,60.9929868590901,2.3975166666670003
FT0058,60.9930302497573,10.011415608723967
FT0059,60.9930686810843,2.8990066528320333
FT0060,60.9930649638039,1.24508565266927
FT0061,60.9929662715718,7.567658996582034
FT0062,60.9931399846216,15.370263671875
FT0063,60.9930219971341,9.620342000325516
FT0064,60.9930409316384,5.007516479492184
FT0065,60.9929882624796,8.614983333332999
FT0066,60.9930433975331,6.60345
FT0067,60.99297319174,1.0904593149820967
FT0068,61.988336492893,4.359041341145834
FT0069,61.9882834140332,2.4307683308919334
FT0070,61.9885307513208,5.755707248942216
FT0071,61.9886018910016,6.079866015624833
FT0072,61.9956692583288,1.8157770792643169
FT0073,61.9965188460394,7.368156433105467
FT0074,61.9884677326907,5.9218505859375
FT0075,61.9884448681327,0.16983332633972167
FT0076,61.9966187247196,13.076888020833334
FT0077,61.9961409182411,0.7063103993733717
FT0078,61.9962111482913,1.1945860544840499
FT0079,62.9973358057212,0.7063103993733717
FT0080,62.997408490075,13.293653361002601
FT0081,62.9973568110214,1.26192741394043
FT0082,68.9957460249672,0.9884750684102384
FT0083,69.0092729974352,5.1238998413086
FT0084,69.0341789648657,3.593880173746917
FT0085,70.9459784235282,5.06569798583985
FT0086,71.0140956423938,6.0382334391276
