,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
1969,282.2520030993857,0.756116666667,1693732.267031663,1461331.2340448748,1411133.264426027
1970,282.2520030993857,0.8561166666669999,1693732.267031663,1461331.2340448748,1411133.264426027
1971,282.2520030993857,0.9561166666669999,1693732.267031663,1461331.2340448748,1411133.264426027
1972,283.0303130132566,0.8561166666669999,7004.9527621277075,5587.710776305205,3790.6559274746755
1973,283.0607901216605,6.156116666666994,1067.4272659597095,0.0,1649.037721392185
1974,283.06768330080973,5.056116666666998,3413.9870643466993,2827.62972642064,1950.344450342291
1975,283.06768330080973,6.156116666666994,1917.4096715604564,735.5235221431435,1845.30788399499
1976,283.11256324311285,6.156116666666994,4360.326949215874,4380.155975702467,3697.621752580978
1977,283.13936221705796,0.756116666667,5149.392754322216,5813.481337104824,4686.110819659419
1978,283.191765211791,1.0561166666669999,10019.416841899321,11921.289520535764,9292.035373696413
1979,283.2643645898474,0.756116666667,85409533.32150412,77688160.42070763,73337512.43065521
1980,283.2643645898474,0.8561166666669999,85409533.32150412,77688160.42070761,73337512.43065521
1981,283.2643645898474,0.9561166666669999,85409533.32150412,77688160.42070761,73337512.43065521
1982,283.3379925347557,0.8561166666669999,1909689.1802213702,1538385.9969305603,1496639.449639254
1983,283.3379925347557,0.9561166666669999,1909689.1802213702,1538385.9969305603,1496639.449639254
1984,283.7858134550604,0.756116666667,413.6121677304212,1323.9234177466492,1135.6155667491855
1985,283.79943115267145,1.0561166666669999,3184.1827536328165,2405.0030629145735,3544.9499542945396
1986,283.9056525293165,0.8561166666669999,2194.1349367607245,1632.5322046685162,1651.926854399831
1987,283.94444650047615,0.9561166666669999,1419.488554813195,2479.1580249725193,3088.1027415999247
1988,284.02033975406545,0.8561166666669999,29524.75140699962,5507.764320224426,12616.198658896996
