Row.names,mz,mzmin,mzmax,rt,rtmed,rtmin,rtmax,npeaks,X1,ms_level,control_1.mzML,control_2.mzML,control_3.mzML
FT2902,370.136804,370.1364222,370.1368204,4.492683333,269.561,266.62,272.517,3,3,1,12068.11336,16096.47699,13349.93006
FT2903,370.9102956,370.910018,370.9105389,7.273233333,436.394,436.374,436.433,3,3,1,27873.10132,42447.86778,28185.65866
FT2904,370.9784696,370.9781417,370.978693,8.067683333,484.061,484.044,484.1,3,3,1,189934.0889,284551.8256,168703.5174
FT2905,370.9337689,370.9335105,370.9343931,7.919383333,475.163,475.123,476.097,3,3,1,16084.15342,17819.62949,15009.30179
FT2906,371.1132227,371.113169,371.1138299,6.082216667,364.933,364.875,365.887,3,3,1,29353.2905,17660.63319,10763.31918
FT2907,371.0597575,371.0592175,371.0599631,1.199683333,71.981,71.938,72.91,3,3,1,34534.37778,31927.19012,21523.00188
FT2908,371.0142546,371.014205,371.0144435,7.173933333,430.436,430.416,432.461,3,3,1,28369.31303,24329.07883,18326.34681
FT2909,371.1873862,371.1674194,371.2067903,0.934508333,56.0705,55.056,57.016,6,3,1,39456.40314,36657.09543,29883.53208
FT2910,371.1368524,371.1366713,371.1369754,5.502283333,330.137,330.114,330.176,3,3,1,1108337.692,1122525.83,1109370.215
FT2911,371.149948,371.1493706,371.1508246,2.606533333,156.392,154.366,158.313,3,3,1,21327.32576,12948.97518,18461.29332
FT2912,371.1563661,371.1560269,371.1570133,4.128566667,247.714,243.78,249.677,3,3,1,22252.09191,13763.79589,13509.71519
FT2913,371.1222368,371.1218946,371.1225791,3.30115,198.069,197.107,199.031,2,2,1,12845.5523,15304.11725,3496.39084
FT2914,371.2435818,371.2427303,371.2811024,0.867516667,52.051,51.058,52.12,5,3,1,26071.23035,21897.38625,27140.83619
FT2915,371.9818577,371.9818191,371.9823405,8.067683333,484.061,484.044,484.1,3,3,1,15213.74625,20863.87004,9903.722407
FT2916,372.1046005,372.1045461,372.1047412,3.2189,193.134,193.096,194.063,3,3,1,78488.19983,159934.7759,89401.43933
FT2917,371.997202,371.9969975,371.9975449,8.630132813,517.8079688,516.872,518.8170312,3,3,1,17283.05523,16982.9327,12612.48066
FT2918,372.1627198,372.1624219,372.211723,0.917166667,55.03,54.062,57.085,5,3,1,40846.2464,42866.70199,35331.21496
FT2919,372.1402882,372.1399132,372.1405232,5.502283333,330.137,330.114,330.176,3,3,1,158441.3821,154509.4444,150459.8782
FT2920,372.1261386,372.1252691,372.1261398,0.785916667,47.155,47.086,48.104,3,3,1,12845.33672,12002.3156,13238.11752
FT2921,372.1221806,372.1219044,372.1222456,3.565833333,213.95,212.995,214.92,3,3,1,42799.22878,36944.17002,30347.10741
FT2922,372.8062831,372.806121,372.8063354,12.51965,751.179,750.244,751.193,3,3,1,37601.61556,29532.25947,27279.9022
FT2923,372.9025307,372.9024097,372.9025768,11.4604,687.624,686.644,687.681,3,3,1,282815.0287,313290.1743,303068.3842
FT2924,372.8994289,372.8971094,372.9005188,8.44835,506.901,504.899,506.942,3,3,1,322894.6351,419761.2963,423770.9278
FT2925,373.1080622,373.1074257,373.108318,3.2189,193.134,193.096,194.063,3,3,1,11069.18538,24308.72068,13542.82392
FT2926,373.0999232,373.099842,373.1003519,7.919383333,475.163,475.123,476.097,3,3,1,27354.12219,35213.20649,28226.99283
FT2927,373.0856568,373.0852072,373.0885726,3.00375,180.225,180.186,184.132,3,3,1,38468.04629,35186.20019,32876.00502
FT2928,373.0451499,373.0448545,373.0454453,0.942783333,56.567,56.049,57.085,2,2,1,4548.853025,7763.067973,11689.32375
FT2929,373.141689,373.1414383,373.1417055,5.502283333,330.137,330.114,330.176,3,3,1,33468.89442,34443.99566,33004.5106
FT2930,373.1675745,373.1666198,373.1679222,0.817866667,49.072,47.111,50.134,3,3,1,49075.21071,37466.88756,17213.68943
FT2931,373.2196542,373.1554073,373.293287,0.9507,57.042,54.062,57.085,5,3,1,16374.76845,17814.29507,31032.68169
FT2932,373.8677873,373.8675267,373.8680479,12.3046,738.276,738.269,738.283,2,2,1,15016.18091,5164.487865,14982.29055
FT2933,374.0363461,374.0363236,374.0368442,5.9167,355.002,354.963,355.937,3,3,1,28715.93409,20082.36928,17661.68589
FT2934,374.094664,374.0944304,374.0949685,6.031583333,361.895,360.961,361.915,3,3,1,45163.69479,45219.05399,46476.03187
FT2935,374.114031,374.1135875,374.1141006,6.511883333,390.713,389.701,390.752,3,3,1,100030.6385,131525.9517,101305.3982
FT2936,374.1783942,374.1428658,374.1791283,0.901033333,54.062,53.044,55.099,5,3,1,32587.91523,45353.3831,40305.6523
FT2937,374.1200875,374.119739,374.1207512,3.251366667,195.082,195.056,195.121,3,3,1,49938.19307,56107.57701,35055.44807
FT2938,374.121529,374.0861988,374.1568591,4.410058333,264.6035,264.573,264.634,2,2,1,13730.90777,15486.03696,298.0105268
FT2939,374.1400226,374.1393861,374.1406592,1.257083333,75.425,74.896,75.954,2,2,1,59048.71744,39557.10113,24637.71171
FT2940,374.2445237,374.2441782,374.2447998,0.9507,57.042,57.016,57.085,3,3,1,706484.3322,475950.6151,267084.504
FT2941,374.773248,374.7730297,374.7732639,12.58681667,755.209,755.151,756.158,3,3,1,754272.3454,656619.0299,420677.7863
FT2942,375.114231,375.1142083,375.1143254,5.237466667,314.248,314.226,314.287,3,3,1,198648.5785,199374.4711,133815.2932
