,index,mz,rt,example_data_for_colab/xcms_example_data//B1_NIST1950_1_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_2_6540.mzML,example_data_for_colab/xcms_example_data//B1_NIST1950_3_6540.mzML
3359,694330,501.414999976021,1.0561166666669999,0.0,0.9046768546104431,0.9546598792076111
3360,694551,502.2911343761014,1.156116666667,0.8593882322311401,0.8724525570869446,0.7952710390090942
3361,694767,502.3973676868559,0.756116666667,0.9936392903327942,0.9930453896522522,0.9927667379379272
3362,694768,502.3973676868559,0.8561166666669999,0.0,0.974738359451294,0.9780769348144531
3363,694989,502.41833316331366,0.9561166666669999,0.9962719678878784,0.9955601692199707,0.996446430683136
3364,695209,503.32375291558253,0.9561166666669999,0.9792751669883728,0.979759156703949,0.9798698425292969
3365,695428,503.33799658895197,0.8561166666669999,0.9861765503883362,0.9882760643959045,0.9866806864738464
3366,695647,503.41077116746345,0.756116666667,0.9921008944511414,0.9908072352409363,0.9892465472221375
3367,695648,503.41077116746345,0.8561166666669999,0.978762149810791,0.9719065427780151,0.9819921255111694
3368,695866,504.0552880800434,0.656116666667,0.9766697883605957,0.9665185809135437,0.9622989296913147
3369,696089,504.32487974042016,0.9561166666669999,0.9762716293334961,0.9769240021705627,0.9773778319358826
3370,696307,504.4130880169535,0.756116666667,0.9935530424118042,0.9942909479141235,0.9946145415306091
3371,696532,505.2083650028517,1.256116666667,0.8437331318855286,0.9146249294281006,0.9556036591529846
3372,696748,505.34937495295577,0.8561166666669999,0.9701412916183472,0.9598680138587952,0.9710710644721985
3373,696967,505.4237457225612,0.756116666667,0.9926645159721375,0.9918444752693176,0.991243839263916
3374,696968,505.4237457225612,0.8561166666669999,0.9776041507720947,0.9746579527854919,0.9788693785667419
3375,697187,506.3554518397035,0.756116666667,0.5560644268989563,0.955896258354187,0.91655033826828
3376,697407,506.42756823512,0.756116666667,0.9966688752174377,0.997234046459198,0.9961165189743042
3377,697750,506.83167043890603,13.05611666666697,0.9897699356079102,0.9899543523788452,0.989795982837677
3378,697751,506.83167043890603,13.15611666666697,0.8578850030899048,0.8584551215171814,0.8401509523391724
3379,697849,507.1234516439806,0.9561166666669999,0.9867375493049622,0.9840622544288635,0.9839851260185242
3380,698070,507.22332653398917,1.0561166666669999,0.92585289478302,0.9308083653450012,0.9319645166397095
